"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.3190002441406","42.3969993591309","42.3880004882813","42.3800010681152","42.3450012207031","42.2369995117188","42.1380004882813","42.0519981384277","41.9669990539551","41.9739990234375","42.1370010375977","42.3040008544922","42.5149993896484","42.742000579834","42.9449996948242","42.8359985351563","42.6980018615723","42.5130004882813","42.1469993591309","41.9819984436035","42.1419982910156","42.3559989929199","42.4790000915527","42.6720008850098","42.8650016784668","43.0279998779297","43.2239990234375","43.4480018615723","43.4560012817383",
"Angola","AGO","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.072998046875","75.0770034790039","75.1829986572266","75.125","74.9739990234375","74.8870010375977","74.8259963989258","74.754997253418","74.6520004272461","74.5630035400391","74.5299987792969","74.3840026855469","74.3199996948242","74.2460021972656","74.1780014038086","74.2600021362305","74.318000793457","74.3580017089844","74.3160018920898","70.0039978027344","71.7119979858398","71.7480010986328","71.7779998779297","71.8529968261719","71.9059982299805","71.9830017089844","72.0459976196289","72.0879974365234","72.1569976806641",
"Albania","ALB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.3390007019043","54.3059997558594","53.5369987487793","52.8699989318848","52.023998260498","51.7299995422363","52.2900009155273","52.0709991455078","51.6290016174316","51.4220008850098","50.9259986877441","50.4550018310547","49.5870018005371","48.7750015258789","47.9980010986328","47.4179992675781","46.8800010681152","47.8549995422363","47.0660018920898","46.625","47.601001739502","48.3889999389648","44.0089988708496","43.6910018920898","45.6399993896484","47.0550003051758","48.2210006713867","48.9609985351563","48.8600006103516",
"Andorra","AND","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.6507044799715","42.2919437518745","41.9805596954753","42.1532428931482","41.9275005853464","42.0994430599606","42.0966808989974","41.8197179108665","42.0533635549657","41.7988780405815","41.6035109590403","41.367356579604","41.5121667795749","42.0730046261939","42.245887530823","42.7200067107404","43.2560912291414","43.4708827571815","43.8143135201522","44.0835820197135","43.629327117096","43.6652525281957","43.8830790632802","43.6677657595229","43.3836120260782","43.4107068592465","42.8685768025109","42.8724812089297","43.0067950196718",
"United Arab Emirates","ARE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.8960037231445","72.2969970703125","72.7689971923828","73.3270034790039","73.7809982299805","73.1890029907227","73.036003112793","73.2360000610352","73.6429977416992","74.2509994506836","73.6439971923828","73.4420013427734","73.7750015258789","74.677001953125","76.1060028076172","76.8339996337891","78.3730010986328","79.7990036010742","80.7850036621094","81.6559982299805","81.4830017089844","81.1620025634766","80.8270034790039","81.036003112793","81.4290008544922","81.1620025634766","80.2829971313477","80.2779998779297","80.1660003662109",
"Argentina","ARG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.1479988098145","56.8190002441406","54.8139991760254","53.9770011901855","49.4490013122559","50.7109985351563","52.5250015258789","54.1139984130859","53.1529998779297","52.6069984436035","51.0330009460449","49.1580009460449","52.2299995422363","53.867000579834","54.8240013122559","55.9620018005371","56.2630004882813","55.9480018615723","55.7849998474121","55.7439994812012","56.2789993286133","56.1310005187988","55.9449996948242","55.3549995422363","55.367000579834","55.5","55.5340003967285","55.7290000915527","55.3009986877441",
"Armenia","ARM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.3930015563965","55.976001739502","53.5909996032715","52.4169998168945","51.8979988098145","50.0379981994629","48.8400001525879","49.25","47.9150009155273","47.6150016784668","47.4280014038086","47.1839981079102","47.0130004882813","46.9939994812012","47.1370010375977","47.4449996948242","47.8709983825684","46.2070007324219","44.0229988098145","45.7919998168945","47.2210006713867","48.1259994506836","48.9850006103516","47.6559982299805","46.6629981994629","46.0970001220703","45.7999992370605","45.890998840332","46.1730003356934",
"American Samoa","ASM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
