Country or Area,Subgroup,Year,Value
Barbados,Male,2000,10454
Barbados,Male,1999,10780
Belarus,Female,2005,455967
Belarus,Female,2004,476200
Belarus,Female,2003,494484
Belarus,Female,2002,488377
Belarus,Female,2001,494939
Belarus,Female,2000,499342
Belarus,Female,1999,491132
Belarus,Male,2005,472521
Belarus,Male,2004,493568
Belarus,Male,2003,503276
Belarus,Male,2002,493853
Belarus,Male,2001,497455
Belarus,Male,2000,502415
Belarus,Male,1999,487364
Belgium,Female,2005,391138
Belgium,Female,2004,387031
Belgium,Female,2003,605519
Belgium,Female,2002,593536
Belgium,Female,2001,578670
Belgium,Female,2000,541800
Belgium,Female,1999,523256
Belgium,Male,2005,423401
Belgium,Male,2004,418747
Belgium,Male,2003,575808
Belgium,Male,2002,555793
Belgium,Male,2001,546586
Belgium,Male,2000,515736
Belgium,Male,1999,510228
Belize,Female,2005,15591
Belize,Female,2004,15702
Belize,Female,2003,14109
Belize,Female,2002,12888
Belize,Female,2001,12401
Belize,Female,2000,11820
Belize,Female,1999,11097
Belize,Male,2005,15786
Belize,Male,2004,15522
Belize,Male,2003,13771
Belize,Male,2002,12716
Belize,Male,2001,11994
Belize,Male,2000,11415
Belize,Male,1999,10562
Benin,Female,2005,154266
Benin,Female,2004,109184
Benin,Female,2003,98433
Benin,Female,2002,91345
Benin,Female,2001,81662
Benin,Female,2000,71442
Benin,Female,1999,66945
Benin,Male,2005,281183
Benin,Male,2004,235706
Benin,Male,2003,213994
Benin,Male,2002,195947
Benin,Male,2001,175082
Benin,Male,2000,157786
Benin,Male,1999,146529
Bermuda,Female,2005,2494
Bermuda,Female,2004,2549
Bermuda,Female,2003,2444
Bermuda,Female,2002,2350
Bermuda,Female,2001,2334
Bermuda,Male,2005,2262
Bermuda,Male,2004,2254
Bermuda,Male,2003,2216
Bermuda,Male,2002,2215
Bermuda,Male,2001,2232
Bhutan,Female,2005,19870
Bhutan,Female,2002,13258
Bhutan,Female,2001,11964
Bhutan,Female,2000,10423
Bhutan,Female,1999,8885
Bhutan,Male,2005,22274
Bhutan,Male,2002,15936
Bhutan,Male,2001,14347
Bhutan,Male,2000,12878
Bhutan,Male,1999,11238
Bolivia,Female,2003,507903
Bolivia,Female,2002,481680
Bolivia,Female,2001,447647
Bolivia,Female,2000,422972
Bolivia,Female,1999,394905
Bolivia,Male,2003,540978
Bolivia,Male,2002,514897
Bolivia,Male,2001,478543
Bolivia,Male,2000,453869
Bolivia,Male,1999,434854
Botswana,Female,2005,84214
Botswana,Female,2004,86559
Botswana,Female,2003,85785
Botswana,Female,2002,84909
Botswana,Female,2001,83281
