Reference Area,Time Period,Units of measurement,Observation Value
Sweden,2004,Number,72459
Sweden,2003,Number,72978
Sweden,2001,Number,72189.688
Sweden,1999,Number,66673.679
Sweden,1997,Number,65495.463
Switzerland,2012,Number,75475.813
Switzerland,2008,Number,62065.693
Switzerland,2004,Number,52250
Switzerland,2000,Number,52285
Switzerland,1996,Number,50155
Thailand,2014,Number,84216
Thailand,2011,Number,53123
Thailand,2009,Number,60344
Thailand,2007,Number,42624
Thailand,2005,Number,36967
Thailand,2003,Number,42379
Thailand,2001,Number,32011
Thailand,1999,Number,20048
Thailand,1997,Number,14022
Thailand,1996,Number,10209
The former Yugoslav Republic of Macedonia,2014,Number,1964.6
The former Yugoslav Republic of Macedonia,2013,Number,1563.01
The former Yugoslav Republic of Macedonia,2012,Number,1670.65
The former Yugoslav Republic of Macedonia,2011,Number,1108.04
The former Yugoslav Republic of Macedonia,2010,Number,1433.5
The former Yugoslav Republic of Macedonia,2009,Number,1147
The former Yugoslav Republic of Macedonia,2008,Number,1267
The former Yugoslav Republic of Macedonia,2007,Number,1350
The former Yugoslav Republic of Macedonia,2006,Number,1357
The former Yugoslav Republic of Macedonia,2005,Number,1434
The former Yugoslav Republic of Macedonia,2004,Number,1447
The former Yugoslav Republic of Macedonia,2003,Number,1464
The former Yugoslav Republic of Macedonia,2002,Number,1518
The former Yugoslav Republic of Macedonia,2001,Number,1630
The former Yugoslav Republic of Macedonia,2000,Number,1786
The former Yugoslav Republic of Macedonia,1999,Number,1838
The former Yugoslav Republic of Macedonia,1998,Number,1892
The former Yugoslav Republic of Macedonia,1997,Number,1685
Togo,2014,Number,539.49
Togo,2012,Number,458.11
Togo,2011,Number,444.07
Togo,2010,Number,443.7
Togo,2007,Number,320
Togo,2006,Number,230
Togo,2005,Number,312
Togo,2004,Number,228
Togo,2003,Number,235
Tunisia,2014,Number,21177
Tunisia,2013,Number,20850
Tunisia,2012,Number,18647
Tunisia,2011,Number,16286
Tunisia,2010,Number,15589
Tunisia,2009,Number,16539
Turkey,2014,Number,115444.147
Turkey,2013,Number,112969.069
Turkey,2012,Number,105121.762
Turkey,2011,Number,92801.097
Turkey,2010,Number,81791.542
Turkey,2009,Number,73520.521
Turkey,2008,Number,67244.104
Turkey,2007,Number,63376.562
Turkey,2006,Number,54443.923
Turkey,2005,Number,49251.435
Turkey,2004,Number,39960.148
Turkey,2003,Number,38308
Turkey,2002,Number,28964
Turkey,2001,Number,27698
Turkey,2000,Number,27003
Turkey,1999,Number,24267
Turkey,1998,Number,22892
Turkey,1997,Number,23432
Turkey,1996,Number,21983
Uganda,2010,Number,2006.6
Ukraine,2014,Number,87389.8
Ukraine,2013,Number,99882.5
Ukraine,2012,Number,105529.7
Ukraine,2011,Number,110917.8
Ukraine,2010,Number,116320.8
Ukraine,2009,Number,118746.9
Ukraine,2008,Number,127345.7
Ukraine,2007,Number,132926.1
Ukraine,2006,Number,136244.7
United Arab Emirates,2011,Number,11400
United Kingdom of Great Britain and Northern Ireland,2014,Number,387933.5
United Kingdom of Great Britain and Northern Ireland,2013,Number,377342.9
United Kingdom of Great Britain and Northern Ireland,2012,Number,356484.4
United Kingdom of Great Britain and Northern Ireland,2011,Number,356258.3
United Kingdom of Great Britain and Northern Ireland,2010,Number,350766.363
United Kingdom of Great Britain and Northern Ireland,2009,Number,347486
United Kingdom of Great Britain and Northern Ireland,2008,Number,342085.5
United Kingdom of Great Britain and Northern Ireland,2007,Number,343854.9
United Kingdom of Great Britain and Northern Ireland,2006,Number,334803.7
United Kingdom of Great Britain and Northern Ireland,2005,Number,324916.5
United Kingdom of Great Britain and Northern Ireland,2004,Number,318886.02
United Kingdom of Great Britain and Northern Ireland,2003,Number,315845.95
United Kingdom of Great Britain and Northern Ireland,2002,Number,308775.7
United Kingdom of Great Britain and Northern Ireland,2001,Number,299205.21
United Kingdom of Great Britain and Northern Ireland,2000,Number,288598.75
United Kingdom of Great Britain and Northern Ireland,1999,Number,289945
United Kingdom of Great Britain and Northern Ireland,1998,Number,284489
United Kingdom of Great Britain and Northern Ireland,1997,Number,266719
United Kingdom of Great Britain and Northern Ireland,1996,Number,271580
United Republic of Tanzania,2013,Number,1966.59
United Republic of Tanzania,2010,Number,2928.6
Uruguay,2002,Number,1412
Uruguay,2000,Number,1096.94
Uruguay,1999,Number,791.63
Uzbekistan,2011,Number,20312
Viet Nam,2002,Number,11356
Zambia,2008,Number,2130
Zambia,1999,Number,2098
Zambia,1998,Number,2085
Zambia,1997,Number,2073
Zambia,1996,Number,1959
Zimbabwe,2012,Number,1740.815
