Country or Area,Female,Male,Year
Algeria,11,22.8,2003
Algeria,12.5,22.5,2001
Anguilla,0.7,4.8,2001
Anguilla,1,3.3,1999
Antigua and Barbuda,1.1,4.1,2001
Antigua and Barbuda,2.5,5.3,1991
Argentina,0.6,1.5,2005
Argentina,0.9,1.4,2004
Argentina,1,1.7,2003
Argentina,0.5,1.3,2002
Argentina,0.3,1.2,2001
Argentina,0.2,1,2000
Argentina,0.2,1.1,1999
Argentina,0.2,1.1,1998
Argentina,0.2,1.1,1997
Argentina,0.2,1.1,1996
Argentina,0.4,0.8,1995
Argentina,0.2,0.6,1994
Argentina,0.3,0.5,1993
Argentina,0.3,0.4,1992
Argentina,0.1,0.5,1991
Argentina,0.2,0.5,1990
Aruba,0.3,0.6,1997
Aruba,0.1,0.1,1994
Australia,2.5,4.6,2005
Australia,2.7,4.6,2004
Australia,2.6,5,2003
Australia,3.1,5.6,2002
Australia,3.5,5.9,2001
Australia,3.5,6.1,2000
Australia,3.5,6.1,1999
Australia,3.5,6,1998
Australia,3.6,6.3,1997
Australia,3.5,6.2,1996
Australia,3.6,6,1995
Australia,3.6,6.2,1994
Australia,3.8,6.5,1993
Australia,3.8,6.4,1992
Australia,3.9,6.6,1991
Australia,4,6.7,1990
Australia,3.9,6.7,1989
Australia,4.1,7,1988
Australia,4.1,6.9,1987
Australia,4.4,7.2,1986
Australia,4.4,7.3,1985
Austria,5.6,5.5,2005
Austria,5.3,4.8,2004
Austria,5.8,5.4,2003
Austria,6,5.3,2002
Austria,6.1,5.3,2001
Austria,6.1,5.5,2000
Austria,6.8,5.6,1999
Austria,7.3,5.9,1998
Austria,7.5,6.1,1997
Austria,8.4,6.4,1996
Austria,8.5,6.6,1995
Austria,8,6.6,1994
Austria,7.8,6.2,1993
Austria,8,6.4,1992
Austria,8.5,6.6,1991
Austria,9.4,6.8,1990
Austria,9.2,7.1,1989
Austria,9.3,7.4,1988
Austria,10.1,7.7,1987
Austria,10.2,7.6,1986
Austria,10.5,8,1985
Azerbaijan,37.4,41.1,2005
Azerbaijan,38,40.9,2004
Azerbaijan,39,40.9,2003
Azerbaijan,39.4,40.9,2002
Azerbaijan,42.8,37.4,2001
Azerbaijan,46.1,36.4,2000
Azerbaijan,47.6,37.5,1999
Bahamas,0.3,6.4,2005
Bahamas,0.4,8.2,2004
Bahamas,0.6,5.3,2003
Bahamas,1.7,5.6,2002
Bahamas,1.4,6.8,2001
Bahamas,0.9,6.7,1999
Bahamas,1.3,6,1998
Bahamas,2.2,6,1997
Bahamas,1.2,8.1,1996
Bahamas,1.1,7.3,1995
Bahamas,1.6,8.8,1994
Bahamas,1.4,9,1993
Bahamas,1.5,8.6,1992
Bahamas,1.5,8.6,1991
Bahrain,0.1,1.9,2001
Bahrain,0,2.9,1991
Bangladesh,58.6,49.8,2003
Bangladesh,76.9,53.3,2000
Bangladesh,77.5,54.4,1996
Bangladesh,84.9,54.4,1990
Bangladesh,71.5,60.4,1989
Bangladesh,11.4,62.3,1986
Bangladesh,9.3,62.3,1985
Barbados,2.5,4.2,2004
Barbados,3.5,5.3,2003
Barbados,3.1,4.9,2002
Barbados,3.6,4.8,2001
Barbados,3.3,4.1,2000
Barbados,3.3,5.2,1999
Barbados,3.6,5,1998
Barbados,4.2,6.5,1997
Barbados,4.3,6.1,1996
Barbados,3.6,5.5,1995
Barbados,4.3,6,1994
Barbados,4.5,6.3,1993
Barbados,4.2,8,1992
Barbados,4.4,6.4,1991
Barbados,5.5,6.9,1990
Barbados,6.6,6.6,1989
Barbados,6.6,8.7,1988
Barbados,6.7,9,1987
Barbados,7.5,8.8,1986
Barbados,7.2,9.4,1985
Belgium,1.5,2.4,2005
Belgium,1.4,2.5,2004
Belgium,1.2,2.2,2003
Belgium,1.2,2.1,2002
Belgium,1.1,2,2001
Belgium,1.1,2.2,2000
Belgium,1.5,2.4,1999
Belgium,1.6,2.7,1998
Belgium,2.1,3,1997
Belgium,2.2,3.1,1996
Belgium,2.1,3.1,1995
Belgium,2.2,3.4,1994
Belgium,1.7,3,1993
Belgium,2,3.1,1992
Belgium,1.9,3,1991
Belgium,1.9,3.8,1990
Belgium,1.8,3.8,1989
Belgium,1.8,3.6,1988
Belgium,1.8,3.7,1987
Belgium,1.8,3.8,1986
Belgium,1.9,3.9,1985
Belize,3.3,28,2005
Belize,6.4,36.9,1999
Belize,5.4,34.1,1998
Belize,6.1,40.3,1997
Belize,5,38.4,1996
Belize,6.1,36.2,1995
Belize,4.5,30.9,1994
Belize,4.7,33,1993
Bermuda,0.3,2.6,1996
Bermuda,0.4,2.7,1995
Bermuda,0.3,2.7,1994
Bermuda,0.2,2.7,1993
Bermuda,0.2,2.7,1992
Bermuda,0.2,2.8,1991
Bolivia,36.2,42.3,2002
Bolivia,39.8,42.9,2001
Bolivia,35.3,37.9,2000
Bolivia,37.2,37,1999
Bolivia,4.1,7,1997
Bolivia,4,6.4,1996
Bolivia,1.1,3,1995
Bolivia,0.7,2.4,1994
Bolivia,0.7,2.8,1993
Bolivia,1.3,2.7,1992
Bolivia,1,2.3,1991
Bolivia,0.2,1.9,1990
Bolivia,1.2,3,1989
Botswana,12.9,28.6,2003
Botswana,5.9,16.8,2001
Botswana,17,21.9,2000
Botswana,12.9,26.2,1998
Botswana,60.5,55.3,1985
Brazil,16,24.5,2004
Brazil,16.1,23.9,2003
Brazil,16.5,23.5,2002
Brazil,16.1,23.6,2001
Brazil,20.4,26.8,1999
Brazil,19.3,26,1998
Brazil,20.2,26.8,1997
Brazil,19.7,27.4,1996
Brazil,22.5,28.4,1995
Brazil,24.1,29.6,1993
Brazil,24.7,30.6,1992
Brazil,13.3,28.1,1990
Brazil,14,28.1,1989
Brazil,14.7,29.4,1988
Brazil,15.4,29.4,1987
Brazil,14.8,31.5,1986
Brazil,18.5,33.7,1985
British Virgin Islands,0.3,3.3,1991
Brunei,0.3,2.1,2001
Brunei,1.6,2.3,1991
Bulgaria,6.8,10.7,2005
Bulgaria,7.4,11.7,2004
Bulgaria,7.6,12.3,2003
Cambodia,69.7,70.8,2001
Cambodia,74.9,72.4,2000
Cambodia,83.1,71.6,1998
Cambodia,79,70.8,1993
Cameroon,68.4,53.1,2001
Cameroon,68.4,53.1,1990
Canada,1.6,3.7,2005
Canada,1.5,3.7,2004
Canada,1.5,3.8,2003
Canada,1.6,3.8,2002
Canada,1.6,3.9,2001
Canada,1.9,4.5,2000
Canada,2.2,4.8,1999
Canada,2.3,5.1,1998
Canada,2.3,5.2,1997
Canada,2.4,5.4,1996
Canada,2.3,5.4,1995
Canada,2.4,5.4,1994
Canada,2.5,5.6,1993
Canada,2.4,5.5,1992
Canada,2.6,5.7,1991
Canada,2.4,5.4,1990
Canada,2.4,5.4,1989
Canada,2.5,5.7,1988
Canada,2.6,6.1,1987
Canada,3,6.4,1986
Canada,3.1,6.6,1985
Chad,85.9,80.3,1993
Chile,5.8,17.1,2005
Chile,5.5,17.6,2004
Chile,4.9,18.1,2003
Chile,4.7,17.9,2002
Chile,4.6,18.1,2001
Chile,4.6,19.3,2000
Chile,4.6,19.3,1999
Chile,4.6,19.4,1998
Chile,4.5,19.2,1997
Chile,5.3,20.2,1996
Chile,5.3,20.6,1995
Chile,5.5,21.3,1994
Chile,6.1,21.6,1993
Chile,6,23.6,1992
Chile,6,24.8,1991
Chile,5.9,25.3,1990
Chile,5.9,25.3,1989
Chile,6.4,26.3,1988
Chile,5.6,27.3,1987
Chile,4.5,27.4,1986
Chile,4,27,1985
Colombia,8.4,31.8,2005
Colombia,6.8,29.4,2004
Colombia,7.2,30.6,2003
Colombia,5.6,30.3,2002
Colombia,6.5,32.5,2001
Colombia,0.5,1.6,2000
Colombia,0.5,1.6,1999
Colombia,0.6,1.4,1998
Colombia,0.5,1.4,1997
Colombia,0.8,1.6,1996
Colombia,0.6,1.4,1995
Colombia,0.8,1.7,1994
Colombia,0.7,1.5,1993
Colombia,0.8,1.9,1992
Colombia,0.6,1.8,1991
Colombia,0.6,1.9,1990
Colombia,0.6,1.7,1989
Colombia,0.6,1.8,1988
Colombia,0.6,1.9,1987
Colombia,0.9,1.8,1986
Colombia,0.7,1.7,1985
Costa Rica,4.8,20.8,2005
Costa Rica,4,20.4,2004
Costa Rica,4.1,21,2003
Costa Rica,4.1,22.1,2002
Costa Rica,3.8,21.9,2001
Costa Rica,5.4,27.3,2000
Costa Rica,4.7,26.9,1999
Costa Rica,5.5,26.9,1998
Costa Rica,5.9,27.2,1997
Costa Rica,5.7,28.3,1996
Costa Rica,6.2,28.2,1995
Costa Rica,5.1,28.3,1994
Costa Rica,6.1,29.5,1993
Costa Rica,5.4,31.9,1992
Costa Rica,6.7,33.3,1991
Costa Rica,6.4,33.6,1990
Costa Rica,5.9,34.1,1989
Costa Rica,7.1,36.1,1988
Costa Rica,6.3,36.1,1987
Costa Rica,5.5,34.4,1986
Costa Rica,4.5,35.3,1985
Croatia,18.9,16,2005
Croatia,17.5,15.5,2004
Croatia,17.6,16.2,2003
Croatia,15,15.4,2002
Croatia,15.3,15.8,2001
Croatia,15.3,13.9,2000
Croatia,17.2,16.1,1999
Croatia,17.3,16.1,1998
Croatia,19,16.7,1997
Croatia,21.2,18.8,1996
Cuba,10.1,27.5,2004
Cuba,9.2,28.7,2003
Cuba,9.2,28.6,2002
Cuba,9.2,28.5,2001
Cuba,14.2,34.3,2000
Cuba,14.2,34.2,1999
Cuba,11.5,26.9,1998
Cuba,13.2,31.6,1997
Cuba,13.2,31.5,1996
Cuba,13.2,31.6,1995
Cyprus,3.5,5.7,2005
Cyprus,3.7,5.7,2004
Cyprus,3.9,6.2,2003
Cyprus,4.3,6,2002
Cyprus,4,5.5,2001
Cyprus,4.8,5.6,2000
Cyprus,4.1,4.8,1999
Cyprus,10.4,10.9,1995
Cyprus,10.8,11.1,1994
Cyprus,12.4,11.3,1993
Cyprus,13.1,11.3,1992
Cyprus,14,11.5,1991
Cyprus,15.9,12,1990
Cyprus,17.2,12.5,1989
Cyprus,17.9,12.8,1988
Cyprus,19.2,13.2,1987
Cyprus,19.8,13.4,1986
Cyprus,20.5,13.9,1985
Czech Republic,2.8,4.8,2005
Czech Republic,3,5.3,2004
Czech Republic,3.2,5.5,2003
Czech Republic,3.4,5.8,2002
Czech Republic,3.3,5.9,2001
Czech Republic,3.7,6.1,2000
Czech Republic,3.8,6.2,1999
Czech Republic,4.2,6.5,1998
Czech Republic,4.4,6.9,1997
Czech Republic,4.8,7.1,1996
Czech Republic,5.5,7.4,1995
Czech Republic,5.7,7.8,1994
Czech Republic,6.3,8.8,1993
Czech Republic,6.7,9.1,1992
Czech Republic,8.3,11.5,1991
Czech Republic,9.7,14.5,1990
Czech Republic,9.6,14,1989
Czech Republic,9.9,13.9,1988
Czech Republic,10.1,13.7,1987
Czech Republic,10.2,13.6,1986
Czech Republic,10.4,13.6,1985
Denmark,1.6,4.1,2005
Denmark,1.5,4.5,2004
Denmark,1.4,4.4,2003
Denmark,1.6,4.5,2002
Denmark,1.6,4.7,2001
Denmark,1.8,4.6,2000
Denmark,1.6,5.3,1998
Denmark,1.7,5.4,1997
Denmark,2,5.5,1996
Denmark,2.5,5.9,1995
Denmark,2.6,7,1994
Denmark,2.6,7.3,1993
Denmark,2.7,7.2,1992
Denmark,3,7.9,1991
Denmark,2.8,7.8,1990
Denmark,2.8,7.9,1989
Denmark,3,7.9,1988
Denmark,3.2,7.7,1987
Denmark,2.8,8.2,1986
Denmark,3.4,9.2,1985
Djibouti,0.2,3.4,1991
Dominica,8.3,29.4,2001
Dominica,16.1,34.3,1999
Dominica,13.7,31.4,1997
Dominica,12.7,38.7,1989
Dominican Republic,2.8,20.6,2005
Dominican Republic,1.9,21.2,2004
Dominican Republic,1.7,19.7,2003
Dominican Republic,1.9,23,2002
Dominican Republic,1.9,21.3,2001
Dominican Republic,2.6,22.7,2000
Dominican Republic,2.8,24,1999
Dominican Republic,2.4,23.9,1998
Dominican Republic,2.2,26.8,1997
Dominican Republic,3.3,26.6,1996
Dominican Republic,1.7,20.5,1995
Dominican Republic,2.2,19.8,1994
Dominican Republic,2.7,22.8,1993
Dominican Republic,2.8,25.6,1992
Dominican Republic,2.6,27.4,1991
Ecuador,4.3,11,2005
Ecuador,4.9,12.3,2004
Ecuador,4.7,11,2002
Ecuador,3.9,10.2,2001
Ecuador,4.4,11.1,2000
Ecuador,2.6,10.5,1999
Ecuador,2.3,10.5,1998
Ecuador,1.9,9.8,1997
Ecuador,1.9,9.5,1996
Ecuador,2,8.8,1995
Ecuador,2.4,9.8,1994
Ecuador,2.4,10.4,1993
Ecuador,1.9,9.6,1992
Ecuador,2.3,11.3,1991
Ecuador,2.5,10.3,1990
Egypt,39,27.7,2003
Egypt,27.6,27.5,2002
Egypt,31.9,27.8,2001
Egypt,39.4,27.4,2000
Egypt,31.9,28,1999
Egypt,35.3,28.5,1998
Egypt,40.5,29.1,1997
Egypt,42.5,32,1995
Egypt,47,32.2,1994
Egypt,46.5,32.5,1993
Egypt,52.4,34.5,1992
Egypt,38.9,29.4,1991
Egypt,52,34.9,1990
Egypt,63.2,34.6,1989
El Salvador,3.4,30,2004
El Salvador,3.8,28.5,2003
El Salvador,2.7,31.9,2002
El Salvador,4.1,33.8,2001
El Salvador,3.8,33.9,2000
El Salvador,4.7,34.1,1999
El Salvador,6.3,37.3,1998
El Salvador,7,38.1,1997
El Salvador,7.9,40.3,1996
El Salvador,7.7,38.7,1995
El Salvador,8.3,40.3,1994
El Salvador,14.8,47.8,1992
El Salvador,5,14.9,1991
El Salvador,2.7,11.3,1990
El Salvador,3.8,15.4,1989
El Salvador,3,11.8,1988
El Salvador,0.7,2.2,1986
El Salvador,12.1,45.7,1985
Estonia,3.5,7.2,2005
Estonia,3.6,8.1,2004
Estonia,3.8,8.4,2003
Estonia,4.2,9.6,2002
Estonia,3.9,9.9,2001
Estonia,4.6,9.7,2000
Estonia,5.9,10.3,1999
Estonia,6.5,11.2,1998
Estonia,6.4,11.8,1997
Estonia,7.2,12.1,1996
Estonia,7.8,12.5,1995
Estonia,10.3,17.6,1994
Estonia,11.5,20.1,1993
Estonia,13.2,22.5,1992
Estonia,14,24,1991
Estonia,15.2,26.5,1990
Estonia,14.9,27.2,1989
Ethiopia,75.5,84.3,2005
Ethiopia,4.6,10.4,2004
Finland,2.9,6.5,2005
Finland,3,6.6,2004
Finland,3.3,6.6,2003
Finland,3.7,6.8,2002
Finland,3.8,7.4,2001
Finland,3.9,7.9,2000
Finland,4.2,8.1,1999
Finland,4.5,8.1,1998
Finland,4.9,8.8,1997
Finland,5.3,9.2,1996
Finland,5.7,10,1995
Finland,6,10.9,1994
Finland,6.1,11.3,1993
Finland,6.3,11.2,1992
Finland,6.6,10.7,1991
Finland,6.7,10.8,1990
Finland,6.7,11.5,1989
Finland,7.2,11.8,1988
Finland,7.7,12.5,1987
Finland,8.3,13.1,1986
Finland,9,13.4,1985
France,2.4,5,2005
France,2.8,5,2004
France,2.9,5.5,2003
Gabon,60.8,25.6,1993
Gambia The,76.5,53.7,1993
Georgia,57.2,51.7,2005
Georgia,56.5,51.7,2004
Georgia,56.8,53.1,2003
Georgia,55.3,52.4,2002
Georgia,52.8,52.7,2001
Georgia,57.5,47,2000
Georgia,54.1,50.4,1999
Georgia,50.9,46.2,1998
Germany,1.7,2.9,2005
Germany,1.7,2.8,2004
Germany,1.9,3,2003
Germany,2,3,2002
Germany,2.1,2.9,2001
Germany,2.2,3.1,2000
Germany,2.3,3.2,1999
Germany,2.5,3.1,1998
Germany,2.6,3.2,1997
Germany,2.7,3.2,1996
Germany,3.1,3.3,1995
Germany,3.2,3.4,1994
Germany,3.4,3.5,1993
Germany,3.7,3.8,1992
Germany,4.2,4.2,1991
Germany,3.8,3.4,1990
Germany,4.1,3.5,1989
Germany,4.5,3.7,1988
Germany,4.8,3.8,1987
Germany,5.2,3.9,1986
Germany,5.5,4,1985
Ghana,50.3,59.8,1999
Ghana,58.7,66.2,1992
Greece,13.9,11.5,2005
Greece,14.1,11.7,2004
Greece,16.9,14.3,2003
Greece,17.2,14.4,2002
Greece,17.7,15.2,2001
Greece,19.6,16.1,2000
Greece,19.8,16.1,1999
Greece,20.5,16.4,1998
Greece,23.1,17.9,1997
Greece,23.9,18.2,1996
Greece,23.9,18.5,1995
Greece,24.8,18.7,1994
Greece,25.4,19.2,1993
Greece,26.4,19.5,1992
Greece,26.7,19.9,1991
Greece,30.3,20.4,1990
Greece,32.3,21.6,1989
Greece,34.1,22.6,1988
Greece,35.4,22.6,1987
Greece,37.3,24,1986
Greece,37.9,24.3,1985
Grenada,9.7,16.5,1998
Grenada,11.9,18.2,1996
Grenada,13.2,23.4,1994
Grenada,9.7,17.7,1991
Grenada,14.8,23.7,1988
Guatemala,18.1,50.1,2002
Guatemala,15.3,48.1,2000
Guatemala,17,49.7,1998
Guatemala,17.4,60.4,1994
Guatemala,16,61.3,1989
Guinea,78.8,72.9,1994
Guyana,16.3,33.5,1997
Guyana,17.1,36.2,1992
Haiti,37.3,62.5,1999
Honduras,13.1,51.3,2005
Honduras,7.2,48.4,2004
Honduras,8.7,51.9,2003
Honduras,8.8,52.7,2002
Honduras,6.7,50.2,2001
Honduras,8.9,49.8,1999
Honduras,7.8,48.6,1998
Honduras,7.1,52.5,1997
Honduras,7.6,53.5,1996
Honduras,6.4,50.4,1995
Honduras,5.9,51,1994
Honduras,2,12.8,1993
Honduras,6.2,52.7,1992
Honduras,5.8,65.2,1990
Honduras,0.5,5.4,1987
Honduras,0.7,5.4,1986
Honduras,0.3,1.5,1985
Hong Kong SAR,0.2,0.4,2005
Hong Kong SAR,0.2,0.3,2004
Hong Kong SAR,0.2,0.3,2003
Hong Kong SAR,0.2,0.4,2002
Hong Kong SAR,0.1,0.3,2001
Hong Kong SAR,0.2,0.3,2000
Hong Kong SAR,0.2,0.4,1999
Hong Kong SAR,0.2,0.4,1998
Hong Kong SAR,0.2,0.4,1997
Hong Kong SAR,0.3,0.5,1996
Hong Kong SAR,0.4,0.7,1995
Hong Kong SAR,0.4,0.8,1994
Hong Kong SAR,0.4,0.8,1993
Hong Kong SAR,0.4,0.8,1992
Hong Kong SAR,0.6,0.9,1991
Hong Kong SAR,0.7,1,1990
Hong Kong SAR,1.1,1.1,1989
Hong Kong SAR,1.3,1.3,1988
Hong Kong SAR,1.4,1.6,1987
Hong Kong SAR,1.4,1.7,1986
Hong Kong SAR,1.5,1.7,1985
Hungary,2.7,6.9,2005
Hungary,2.6,7.5,2004
Hungary,2.7,7.8,2003
Hungary,3.6,8.4,2002
Hungary,3.5,8.4,2001
Hungary,3.6,9,2000
Hungary,3.9,9.7,1999
Hungary,4.1,10.4,1998
Hungary,4.4,10.6,1997
Hungary,4.5,11.3,1996
Hungary,4.7,10.7,1995
Hungary,5.5,11.4,1994
Iceland,3.3,9.4,2005
Iceland,3.4,9.2,2004
Iceland,2.7,10.6,2003
Iceland,3.5,10.6,2002
Iceland,3.5,11.5,2001
Iceland,4.4,11.7,2000
Iceland,4.6,12.8,1999
Iceland,4.8,12,1998
Iceland,4.3,12.3,1997
Iceland,4.7,13.8,1996
Iceland,4.4,14,1995
Iceland,4.2,13.2,1994
Iceland,3.3,14.3,1993
Iceland,4.5,15.5,1992
Iceland,5.1,14.4,1991
Indonesia,45.2,43.4,2005
Indonesia,44.6,42.6,2004
Indonesia,47.3,45.7,2003
Indonesia,45.4,43.7,2002
Indonesia,44.5,43.3,2001
Indonesia,46.6,44.2,2000
Indonesia,43.1,43.3,1999
Indonesia,46,44.3,1998
Indonesia,42,40.7,1997
Indonesia,45,43.4,1996
Indonesia,43.8,44.1,1995
Indonesia,47.3,45.4,1994
Indonesia,51.2,50.2,1993
Indonesia,56.5,53.8,1992
Indonesia,54.5,53.5,1991
Indonesia,56.3,55.6,1990
Indonesia,57,55.7,1989
Indonesia,56.8,55.4,1988
Indonesia,55.7,54.6,1987
Indonesia,55.7,54.7,1986
Indonesia,53.6,55.3,1985
Iran,34.2,22.8,2005
Iran,32.6,23.9,1996
Iraq,1.3,14,2004
Ireland,1.4,9.3,2005
Ireland,1.8,9.9,2004
Ireland,1.7,9.9,2003
Ireland,1.8,10.6,2002
Ireland,2.1,10.6,2001
Ireland,2.4,11.8,2000
Ireland,2.8,12.7,1999
Ireland,3,13.3,1998
Ireland,3.3,14.9,1997
Ireland,3.2,15.3,1996
Ireland,3.3,16.7,1995
Ireland,3.6,17.2,1994
Ireland,3.4,17.9,1993
Ireland,3.6,19.1,1992
Ireland,4.4,19.1,1991
Ireland,4.4,20.7,1990
Ireland,4.1,20.6,1989
Ireland,4.6,20.9,1988
Ireland,5.3,20.7,1987
Ireland,5.4,20.6,1986
Ireland,0.5,20.1,1985
Isle of Man,0,2.2,2001
Isle of Man,0,0,1996
Isle of Man,0.8,0,1991
Israel,0.8,3.1,2005
Israel,0.8,3.1,2004
Israel,0.7,2.8,2003
Israel,0.6,3,2002
Israel,0.9,3.1,2001
Israel,1.1,3.2,2000
Israel,1.1,3.3,1999
Israel,1,3.3,1998
Israel,1.1,3.4,1997
Israel,1.2,3.6,1996
Israel,1.8,4.2,1995
Israel,1.9,4.4,1994
Israel,1.9,4.7,1993
Israel,1.9,4.6,1992
Israel,2.3,4.6,1991
Israel,2.4,5.3,1990
Israel,2.4,6.1,1989
Israel,2.8,6,1988
Israel,2.5,6.6,1987
Israel,3,6.7,1986
Israel,3.3,6.8,1985
Italy,4,4.8,2005
Italy,4.2,5.4,2003
Italy,4.5,5.5,2002
Italy,4.5,5.6,2001
Italy,4.7,5.7,2000
Italy,5.3,5.8,1999
Italy,5.7,6.1,1998
Italy,5.9,6.3,1997
Italy,6.6,6.5,1996
Italy,7.1,6.6,1995
Italy,7.7,6.8,1994
Italy,8.5,7,1993
Italy,8.8,7.9,1992
Italy,9.1,8.3,1991
Italy,9.5,8.7,1990
Italy,9.9,9.1,1989
Italy,10.7,9.6,1988
Italy,11.5,10.2,1987
Italy,11.9,10.3,1986
Italy,8.5,10.6,1985
Jamaica,8.8,25,2005
Jamaica,8.8,25.5,2004
Jamaica,9.9,28.6,2003
Jamaica,9.6,27.4,2002
Jamaica,9.2,28.4,2001
Jamaica,8.9,28.8,2000
Jamaica,9.9,28.7,1999
Jamaica,10.1,29,1998
Jamaica,11.3,29.2,1997
Jamaica,11.7,31,1996
Jamaica,12.1,31.8,1995
Jamaica,12,32.6,1994
Jamaica,15.9,34,1993
Jamaica,4.5,35.9,1992
Japan,4.7,4.4,2005
Japan,4.9,4.4,2004
Japan,4.9,4.5,2003
Japan,5.2,4.5,2002
Japan,5.5,4.6,2001
Japan,5.7,4.7,2000
Japan,5.9,4.8,1999
Japan,6,4.8,1998
Japan,6.2,4.9,1997
Japan,6.5,5,1996
Japan,6.5,5.2,1995
Japan,6.7,5.3,1994
Japan,7.3,5.4,1993
Japan,7.8,5.8,1992
Japan,8.5,6,1991
Japan,8.9,6.3,1990
Japan,9.4,6.7,1989
Japan,9.9,6.9,1988
Japan,10.1,7.2,1987
Japan,10.6,7.3,1986
Japan,2,7.6,1985
Jordan,2.5,3.8,2003
Jordan,2.7,4.1,2002
Jordan,3.6,4.2,2001
Jordan,3.9,5.1,2000
Jordan,1.8,6.9,1987
Jordan,32,5.8,1986
Kazakhstan,34,34.9,2004
Kazakhstan,34.7,36.4,2003
Kazakhstan,34.2,36.2,2002
Kazakhstan,15.7,36.8,2001
Kenya,15.7,19.8,1999
Kenya,19.8,19.7,1998
Kenya,20.7,18.6,1991
Kenya,8.9,18.7,1990
Korea Rep,9.2,7.2,2005
Korea Rep,10.1,7.3,2004
Korea Rep,10.7,7.9,2003
Korea Rep,11.3,8.4,2002
Korea Rep,12.2,9,2001
Korea Rep,13.3,9.5,2000
Korea Rep,14.6,10.4,1999
Korea Rep,13.2,10.9,1998
Korea Rep,13.6,9.9,1997
Korea Rep,14.6,10.3,1996
Korea Rep,16.1,10.9,1995
Korea Rep,17.3,12.1,1994
Korea Rep,18.3,13,1993
Korea Rep,18.5,14,1992
Korea Rep,20.3,14.9,1991
Korea Rep,21.9,16.3,1990
Korea Rep,22.9,18,1989
Korea Rep,24.3,19.1,1988
Korea Rep,26.3,20.2,1987
Korea Rep,27.8,21.9,1986
Korea Rep,38.7,23.1,1985
Kyrgyzstan,43,39.1,2004
Kyrgyzstan,48.7,43.4,2003
Kyrgyzstan,54.8,49.4,2002
Kyrgyzstan,54.8,51.4,2001
Kyrgyzstan,53.2,51.7,2000
Kyrgyzstan,49,51.7,1999
Kyrgyzstan,48.7,49,1998
Kyrgyzstan,47.4,47.9,1997
Kyrgyzstan,89.3,46.9,1996
Lao PDR,8.1,81.2,1995
Latvia,9.9,15.3,2005
Latvia,9.9,16,2004
Latvia,11.3,16.7,2003
Latvia,11.6,18.3,2002
Latvia,12.2,18,2001
Latvia,14.3,16.2,2000
Latvia,16.3,17.8,1999
Latvia,18.7,20.7,1998
Latvia,13.3,23.2,1997
Latvia,45.1,19.8,1996
Lesotho,11.4,65.6,1997
Lithuania,13.4,16.6,2005
Lithuania,14.5,18.2,2004
Lithuania,14.2,21.2,2003
Lithuania,12.9,21.4,2002
Lithuania,15.1,21.9,2001
Lithuania,15.5,22.4,2000
Lithuania,15.8,23.1,1999
Lithuania,16.5,22.4,1998
Lithuania,17.1,27,1997
Lithuania,16.5,31.2,1996
Lithuania,16.3,31.2,1995
Lithuania,17.7,30.5,1994
Lithuania,15.3,27.9,1993
Lithuania,13.4,24.5,1992
Lithuania,12.9,22.9,1991
Lithuania,12.7,25.9,1990
Lithuania,12.6,23.6,1989
Lithuania,13,22.8,1988
Lithuania,13.3,23.4,1987
Lithuania,13.9,25.8,1986
Lithuania,2.9,26,1985
Luxembourg,3.1,3.4,1990
Luxembourg,3.4,3.6,1989
Luxembourg,3.6,3.7,1988
Luxembourg,3.9,3.7,1987
Luxembourg,4.2,3.8,1986
Luxembourg,0.2,4.1,1985
Macau SAR,0.2,0.2,2005
Macau SAR,0.2,0.3,2004
Macau SAR,0.2,0.3,2003
Macau SAR,0.1,0.2,2002
Macau SAR,0.1,0.1,2001
Macau SAR,0,0.2,2000
Macau SAR,0.1,0.1,1999
Macau SAR,0,0.2,1998
Macau SAR,0,0.2,1997
Macau SAR,0.1,0.3,1996
Macau SAR,0,0.3,1995
Macau SAR,0.1,0,1994
Macau SAR,0.1,0.3,1993
Macau SAR,0.1,0.3,1992
Macau SAR,0.1,0.1,1991
Macau SAR,0.2,0.2,1990
Macau SAR,19.2,0.9,1989
Macedonia,15,19.8,2005
Macedonia,22.2,18,2004
Macedonia,24.7,21.9,2003
Macedonia,79.3,23.4,2002
Madagascar,11,76.7,2003
Malaysia,11.6,16.1,2003
Malaysia,12,16.8,2002
Malaysia,14,16.8,2001
Malaysia,13.4,20.7,2000
Malaysia,15,20.9,1999
Malaysia,14.2,20.7,1998
Malaysia,17,18.9,1997
Malaysia,16.9,20.6,1996
Malaysia,19,21.6,1995
Malaysia,20.1,22.2,1993
Malaysia,25.3,22.7,1992
Malaysia,28.2,26.4,1990
Malaysia,30.3,28.9,1989
Malaysia,30.8,30.7,1988
Malaysia,32.5,30.9,1987
Malaysia,33.8,29.7,1986
Malaysia,9,28.6,1985
Maldives,5.4,21.8,2003
Maldives,9,17.9,2000
Maldives,29.9,27,1995
Mali,0.7,49.8,2004
Malta,0.7,2.7,2005
Malta,0.4,2.3,2004
Malta,0.4,2.3,2003
Malta,0.5,2.4,2002
Malta,0.2,2.8,2001
Malta,0.6,2.5,2000
Malta,0.6,2.3,1999
Malta,0.6,2.3,1998
Malta,0.6,2.4,1997
Malta,0.7,2.3,1996
Malta,0.6,2.4,1995
Malta,1.2,2.4,1994
Malta,1.2,3,1991
Malta,1.2,3,1990
